earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2009-07-15T09:22:29.030Z,-45.762,166.562,12.0,7.8,-45.4074,167.7585,101.0,no
2009-08-09T10:55:55.110Z,33.167,137.944,292.0,7.1,34.7181,137.7327,173.0,yes
2009-08-10T19:55:38.730Z,14.099,92.902,24.0,7.5,11.667,92.736,270.0,no
2009-09-02T07:55:01.050Z,-7.782,107.29700000000001,46.0,7.0,-6.95,107.57,97.0,no
2009-09-29T17:48:10.990Z,-15.489,-172.095,18.0,8.1,-13.9338,-171.5312,182.0,yes
2009-09-30T10:16:09.250Z,-0.72,99.867,81.0,7.6,-0.96,100.36,61.0,yes
2009-10-07T22:03:14.470Z,-13.005999999999998,166.51,45.0,7.7,-13.8761,167.5517,148.0,no
2009-10-07T22:18:51.240Z,-12.517000000000001,166.382,35.0,7.8,-13.8761,167.5517,197.0,no
2009-10-07T23:13:48.160Z,-13.093,166.497,31.1,7.4,-13.8761,167.5517,143.0,no
2009-11-09T10:44:55.110Z,-17.239,178.331,595.0,7.3,-18.133,178.4417,100.0,yes
2010-01-03T22:36:25.640Z,-8.783,157.35399999999998,10.0,7.1,-8.0996,156.835,95.0,no
2010-01-12T21:53:10.060Z,18.442999999999998,-72.571,13.0,7.0,18.235,-72.537,23.0,yes
2010-02-26T20:31:26.970Z,25.93,128.425,25.0,7.0,26.2072,127.673,81.0,yes
2010-02-27T06:34:11.530Z,-36.122,-72.898,22.9,8.8,-36.28,-72.53,37.0,no
2010-02-27T08:01:23.010Z,-37.773,-75.048,35.0,7.4,-37.6096,-73.65,125.0,no
2010-03-11T14:55:27.510Z,-34.326,-71.79899999999999,18.0,7.0,-34.38,-72.0,19.0,no
2010-04-04T22:40:42.360Z,32.2861667,-115.29533329999998,9.987,7.2,32.65,-115.48,44.0,yes
2010-04-06T22:15:01.580Z,2.383,97.04799999999999,31.0,7.8,1.75,98.8,207.0,no
2010-05-09T05:59:41.620Z,3.748,96.01799999999999,38.0,7.2,5.1914,97.1415,203.0,yes
2010-05-27T17:14:46.570Z,-13.698,166.643,31.0,7.2,-13.8761,167.5517,100.0,no
2010-06-12T19:26:50.460Z,7.881,91.936,35.0,7.5,11.667,92.736,428.0,no
2010-06-16T03:16:27.550Z,-2.174,136.543,18.0,7.0,-1.1615,136.0485,125.0,yes
2010-07-18T13:34:59.360Z,-5.931,150.59,35.0,7.3,-5.4746,150.41,54.0,no
2010-07-23T22:08:11.250Z,6.718,123.40899999999999,607.1,7.3,7.2169,124.2484,108.0,no
2010-07-23T22:51:11.840Z,6.497000000000001,123.48,578.0,7.6,6.8647,124.4417,114.0,no
2010-07-23T23:15:10.190Z,6.776,123.259,640.6,7.5,7.2169,124.2484,120.0,no
2010-08-04T22:01:43.620Z,-5.746,150.765,44.0,7.0,-5.4746,150.41,49.0,no
2010-08-10T05:23:44.980Z,-17.541,168.06900000000002,25.0,7.3,-17.7334,168.3166,34.0,yes
2010-08-12T11:54:15.580Z,-1.266,-77.306,206.7,7.1,-0.9796,-77.81,64.0,yes
2010-09-03T16:35:47.770Z,-43.522,171.83,12.0,7.0,-43.8983,171.7486,42.0,yes
2010-09-29T17:11:25.940Z,-4.963,133.76,26.0,7.0,-3.3515,135.5134,264.0,no
2010-10-25T14:42:22.460Z,-3.487,100.08200000000001,20.1,7.8,-2.0631,101.3964,215.0,no
2010-12-21T17:19:40.660Z,26.901,143.69799999999998,14.0,7.4,35.32,139.58,1011.0,yes
2010-12-25T13:16:37.000Z,-19.702,167.947,16.0,7.3,-19.5417,169.2817,141.0,no
2011-01-01T09:56:58.120Z,-26.803,-63.136,576.8,7.0,-25.7996,-62.8666,114.0,no
2011-01-02T20:20:17.780Z,-38.355,-73.32600000000001,24.0,7.2,-38.7095,-73.17,42.0,yes
2011-01-13T16:16:41.540Z,-20.628,168.47099999999998,9.0,7.0,-20.9,167.2667,129.0,no
2011-01-18T20:23:23.480Z,28.776999999999997,63.951,68.0,7.2,31.583,64.36,314.0,no
2011-03-09T02:45:20.330Z,38.435,142.842,32.0,7.3,38.2871,141.0217,160.0,yes
2011-03-11T05:46:24.120Z,38.297,142.373,29.0,9.1,38.2871,141.0217,118.0,yes
2011-03-11T06:15:40.280Z,36.281,141.111,42.6,7.9,36.3704,140.48,58.0,yes
2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7,38.2871,141.0217,314.0,yes
2011-04-07T14:32:43.290Z,38.275999999999996,141.588,42.0,7.1,38.2871,141.0217,50.0,yes
2011-06-24T03:09:39.470Z,52.05,-171.83599999999998,52.0,7.3,63.0655,179.3067,1331.0,yes
2011-07-06T19:03:18.260Z,-29.539,-176.34,17.0,7.6,-21.1385,-175.2206,937.0,yes
2011-07-10T00:57:10.800Z,38.034,143.264,23.0,7.0,38.2871,141.0217,199.0,yes
2011-08-20T16:55:02.810Z,-18.365,168.143,32.0,7.2,-17.7334,168.3166,72.0,yes
2011-08-20T18:19:23.550Z,-18.311,168.218,28.0,7.1,-17.7334,168.3166,65.0,yes
2011-08-24T17:46:11.650Z,-7.641,-74.525,147.0,7.0,-7.34,-75.02,64.0,no
2011-09-03T22:55:40.920Z,-20.671,169.71599999999998,185.1,7.0,-19.5417,169.2817,133.0,no
2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3,-18.133,178.4417,440.0,yes
2011-10-21T17:57:16.100Z,-28.993000000000002,-176.238,33.0,7.4,-21.1385,-175.2206,875.0,yes
2011-10-23T10:41:23.250Z,38.721,43.508,18.0,7.1,38.4954,43.4,27.0,no
2011-12-14T05:04:58.630Z,-7.551,146.809,135.0,7.1,-6.733,146.99,93.0,yes
2012-01-10T18:36:59.080Z,2.4330000000000003,93.21,19.0,7.2,5.55,95.32,417.0,no
2012-02-02T13:34:40.650Z,-17.827,167.13299999999998,23.0,7.1,-17.7334,168.3166,126.0,yes
2012-03-20T18:02:47.440Z,16.493,-98.23100000000001,20.0,7.4,16.6801,-98.42,29.0,no
2012-03-25T22:37:06.000Z,-35.2,-72.217,40.7,7.1,-35.3296,-72.42,23.0,no
2012-04-11T08:38:36.720Z,2.327,93.06299999999999,20.0,8.6,5.55,95.32,436.0,yes
2012-04-11T10:43:10.850Z,0.802,92.463,25.1,8.2,5.55,95.32,613.0,no
2012-04-12T07:15:48.500Z,28.695999999999998,-113.104,13.0,7.0,28.9337,-114.1666,107.0,no
2012-08-14T02:59:38.460Z,49.8,145.064,583.2,7.7,49.2416,143.085,156.0,yes
2012-08-27T04:37:19.430Z,12.139000000000001,-88.59,28.0,7.3,13.346,-88.432,135.0,no
2012-08-31T12:47:33.380Z,10.811,126.63799999999999,28.0,7.6,10.18,125.5683,136.0,no
2012-09-05T14:42:07.800Z,10.085,-85.315,35.0,7.6,10.43,-85.1,45.0,no
2012-09-30T16:31:35.970Z,1.929,-76.362,170.0,7.3,2.42,-76.61,61.0,no
2012-10-28T03:04:08.820Z,52.788000000000004,-132.101,14.0,7.8,53.2404,-131.8333,53.0,yes
2012-11-07T16:35:46.930Z,13.988,-91.895,24.0,7.4,14.5371,-91.677,65.0,yes
2012-12-07T08:18:23.130Z,37.89,143.94899999999998,31.0,7.3,38.2871,141.0217,261.0,yes
2012-12-10T16:53:08.770Z,-6.5329999999999995,129.825,155.0,7.1,-3.7167,128.2,360.0,no
2013-01-05T08:58:14.957Z,55.228,-134.8591,8.7,7.5,55.3567,-131.6712,203.0,yes
2013-02-06T01:12:25.830Z,-10.799000000000001,165.114,24.0,8.0,-10.738,165.8567,82.0,no
