,datetime,latitude,longitude,depth,magnitude
93089,2014-11-15T02:31:41.720Z,1.8929,126.5217,45.0,7.1
94907,2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1
95176,2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7.0
95671,2015-03-29T23:48:31.010Z,-4.7294,152.5623,41.0,7.5
96124,2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8
96333,2015-05-05T01:44:06.380Z,-5.4624,151.8751,55.0,7.5
96406,2015-05-07T07:10:19.590Z,-7.2175,154.5567,10.0,7.1
96547,2015-05-12T07:05:19.730Z,27.8087,86.0655,15.0,7.3
96941,2015-05-30T11:23:02.110Z,27.8386,140.4931,664.0,7.8
97275,2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10.0,7.0
97813,2015-07-18T02:27:33.820Z,-10.4012,165.1409,11.0,7.0
98014,2015-07-27T21:41:21.710Z,-2.6286,138.5277,48.0,7.0
99006,2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3
99013,2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7.0
99847,2015-10-20T21:52:02.560Z,-14.8595,167.3028,135.0,7.1
99948,2015-10-26T09:09:42.560Z,36.5244,70.3676,231.0,7.5
100547,2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6
100548,2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6
100754,2015-12-04T22:25:00.110Z,-47.6165,85.0913,35.0,7.1
100798,2015-12-07T07:50:05.950Z,38.2107,72.7797,22.0,7.2
101683,2016-01-24T10:30:30.230Z,59.6363,-153.4051,129.0,7.1
101788,2016-01-30T03:25:12.220Z,53.9776,158.5463,177.0,7.2
102352,2016-03-02T12:49:48.110Z,-4.9521,94.3299,24.0,7.8
103112,2016-04-15T16:25:06.220Z,32.7906,130.7543,10.0,7.0
103177,2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8
103433,2016-04-28T19:33:24.070Z,-16.0429,167.3786,24.0,7.0
103938,2016-05-28T09:46:59.780Z,-56.2409,-26.9353,78.0,7.2
105119,2016-07-29T21:18:24.740Z,18.5429,145.5073,196.0,7.7
105353,2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2
105540,2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10.0,7.4
105835,2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10.0,7.1
105902,2016-09-01T16:37:57.300Z,-37.3586,179.1461,19.0,7.0
107307,2016-11-13T11:02:56.340Z,-42.7373,173.054,15.11,7.8
107978,2016-12-08T17:38:46.280Z,-10.6812,161.3273,40.0,7.8
108286,2016-12-17T10:51:10.500Z,-4.5049,153.5216,94.54,7.9
108601,2016-12-25T14:22:27.010Z,-43.4064,-73.9413,38.0,7.6
108927,2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3
109134,2017-01-22T04:30:22.960Z,-6.2464,155.1718,135.0,7.9
111975,2017-07-17T23:34:13.740Z,54.4434,168.857,10.0,7.7
112791,2017-09-08T04:49:19.180Z,15.0222,-93.8993,47.39,8.2
113078,2017-09-19T18:14:38.090Z,18.5499,-98.4887,48.0,7.1
114101,2017-11-12T18:18:17.180Z,34.9109,45.9592,19.0,7.3
114340,2017-11-19T22:43:29.250Z,-21.3246,168.6715,10.0,7.0
