city_name,country_name,latitude,longitude
Kalbarri,Australia,-27.6662,114.1667
Kroonstad,South Africa,-27.66,27.21
Bloemhof,South Africa,-27.6496,25.59
Belen,Argentina,-27.6496,-67.0333
Erechim,Brazil,-27.63,-52.27
Villa Angela,Argentina,-27.5833,-60.7167
Florianopolis,Brazil,-27.58,-48.52
Ubomba,South Africa,-27.5661,32.0833
Toowoomba,Australia,-27.5645,151.9555
Corrientes,Argentina,-27.49,-58.81
Tierra Amarilla,Chile,-27.48,-70.28
Resistencia,Argentina,-27.46,-58.99
Brisbane,Australia,-27.455,153.0351
Kuruman,South Africa,-27.4496,23.42
Copiapo,Chile,-27.36,-70.34
Volksrust,South Africa,-27.3596,29.89
Posadas,Argentina,-27.3578,-55.8851
Encarnacion,Paraguay,-27.3472,-55.8739
Golela,Swaziland,-27.2962,31.9
Concordia,Brazil,-27.23,-52.03
Charata,Argentina,-27.2163,-61.2
Dalby,Australia,-27.1939,151.2657
Coronel Bogado,Paraguay,-27.17,-56.25
Joacaba,Brazil,-27.17,-51.5
Brusque,Brazil,-27.13,-48.93
Nhlangano,Swaziland,-27.1122,31.1983
Xapeco,Brazil,-27.1,-52.64
Caboolture,Australia,-27.083,152.95
Hohenau,Paraguay,-27.0795,-55.75
Bongaree,Australia,-27.0787,153.1509
Caldera,Chile,-27.0696,-70.83
Hlatikulu,Swaziland,-27,31.4167
Vryburg,South Africa,-26.96,24.73
Standerton,South Africa,-26.9395,29.24
Blumenau,Brazil,-26.92,-49.09
Itajai,Brazil,-26.8996,-48.68
Klerksdorp,South Africa,-26.88,26.62
Pilar,Paraguay,-26.8695,-58.3
Tucuman,Argentina,-26.816,-65.2166
Caloundra,Australia,-26.8,153.1333
Presidencia Roque Saenz Pena,Argentina,-26.79,-60.45
Cacador,Brazil,-26.77,-51.02
Potchefstroom,South Africa,-26.6996,27.1
San Juan Bautista,Paraguay,-26.68,-57.15
Vereeniging,South Africa,-26.6496,27.96
Luderitz,Namibia,-26.648,15.1594
Quilpie,Australia,-26.6166,144.25
Meekatharra,Australia,-26.6,118.4833
Keetmanshoop,Namibia,-26.5739,18.13
Roma,Australia,-26.5594,148.7907
Kingaroy,Australia,-26.539,151.8406
Pampa del Infierno,Argentina,-26.5166,-61.1666
Bethanie,Namibia,-26.4995,17.15
Manzini,Swaziland,-26.495,31.388
Jaragua do Sul,Brazil,-26.48,-49.1
Palmas,Brazil,-26.48,-52
Bethal,South Africa,-26.4696,29.45
Lobamba,Swaziland,-26.4667,31.2
Siteki,Swaziland,-26.455,31.952
Charleville,Australia,-26.4,146.25
Diego de Almagro,Chile,-26.3696,-70.05
Joinville,Brazil,-26.32,-48.8399
Mbabane,Swaziland,-26.3167,31.1333
Springs,South Africa,-26.2696,28.43
Porto Uniao,Brazil,-26.2396,-51.08
Sao Francisco do Sul,Brazil,-26.2396,-48.6
Trancas,Argentina,-26.2167,-65.2833
Caazapa,Paraguay,-26.2,-56.38
Eldorado,Argentina,-26.2,-54.6
Gympie,Australia,-26.1886,152.6709
Canoinhas,Brazil,-26.18,-50.4
Formosa,Argentina,-26.1728,-58.1828
Johannesburg,South Africa,-26.17,28.03
Benoni,South Africa,-26.1496,28.3299
Rio Negro,Brazil,-26.1,-49.79
Cafayate,Argentina,-26.0829,-65.9666
Abai,Paraguay,-26.0296,-55.94
Nacunday,Paraguay,-26.02,-54.7699
Tshabong,Botswana,-26.0095,22.4
Matola,Mozambique,-25.9696,32.46
Piggs Peak,Swaziland,-25.961,31.247
Maputo,Mozambique,-25.9553,32.5892
Juan Jose Castelli,Argentina,-25.9495,-60.6166
Birdsville,Australia,-25.8996,139.3666
Mahikeng,South Africa,-25.8652,25.6442
Mmabatho,South Africa,-25.83,25.61
Monte Quemado,Argentina,-25.7996,-62.8666
Lapa,Brazil,-25.76,-49.73
Middelburg,South Africa,-25.7596,29.47
Villarrica,Paraguay,-25.75,-56.4333
Pretoria,South Africa,-25.7069,28.2294
Rustenburg,South Africa,-25.65,27.24
Brits,South Africa,-25.6296,27.78
Paraguari,Paraguay,-25.62,-57.16
Sao Jose dos Pinhais,Brazil,-25.57,-49.18
Maryborough,Australia,-25.5491,152.7209
